City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_Description
261,Grand Gaube,MU,-20.0064,57.6608,75.38,80,38,1.01,scattered clouds
262,Pochutla,MX,15.7432,-96.4661,84.81,74,87,2.66,overcast clouds
263,Pomabamba,PE,-8.8333,-77.4667,53.15,81,89,2.39,light rain
264,Tigre,AR,-34.426,-58.5796,59.18,85,5,1.99,clear sky
265,Svetlaya,RU,46.5389,138.3297,56.1,56,97,8.43,overcast clouds
266,Yopal,CO,5.3378,-72.3959,72.9,95,81,3.58,broken clouds
267,Teguldet,RU,57.3064,88.1667,46.42,35,0,5.86,clear sky
268,Katobu,ID,-4.9408,122.5276,84.6,73,100,1.72,overcast clouds
269,Xinzhou,CN,38.4092,112.7333,59.36,46,98,7.67,overcast clouds
270,Nkwerre,NG,5.7556,7.1063,72.59,89,99,3.49,overcast clouds
271,Lazaro Cardenas,MX,17.9583,-102.2,77.22,81,1,4.47,clear sky
272,Bowen,AU,-20.0167,148.2333,72.34,87,100,23.02,moderate rain
273,Ambilobe,MG,-13.2,49.05,71.24,96,74,2.08,broken clouds
274,Nachingwea,TZ,-10.3833,38.7667,62.49,86,1,2.68,clear sky
275,Port Blair,IN,11.6667,92.75,85.03,75,100,10.51,overcast clouds
276,Greenville,US,35.6127,-77.3663,60.84,60,100,17.27,overcast clouds
277,Luderitz,NA,-26.6481,15.1594,56.14,68,35,11.16,scattered clouds
278,Grindavik,IS,63.8424,-22.4338,37.87,75,75,16.11,broken clouds
279,Pyaozerskiy,RU,65.8333,31.1667,43.39,80,100,8.59,overcast clouds
280,Prescott,US,34.54,-112.4685,65.28,23,100,5.99,overcast clouds
281,Ryotsu,JP,38.0833,138.4333,65.28,57,100,3.96,overcast clouds
282,Cienaga,CO,11.007,-74.2476,82.98,84,100,3.58,overcast clouds
283,Eyl,SO,7.9803,49.8164,82.4,79,100,7.61,light rain
284,Makakilo City,US,21.3469,-158.0858,80.35,63,40,16.11,scattered clouds
285,Ucluelet,CA,48.9329,-125.5528,52.09,79,78,4.34,broken clouds
286,Radviliskis,LT,55.8167,23.5333,51.85,46,0,9.22,clear sky
287,Tingi,TZ,-11.3,35.0333,58.71,85,12,3.91,few clouds
288,Bathsheba,BB,13.2167,-59.5167,79.32,77,54,15.26,broken clouds
289,Batemans Bay,AU,-35.7167,150.1833,61.11,79,100,5.75,overcast clouds
290,Carolina,PR,18.3808,-65.9574,80.96,83,75,6.64,broken clouds
291,Ilhabela,BR,-23.7781,-45.3581,68.58,85,56,5.39,broken clouds
292,Hamilton,US,39.1834,-84.5333,77.04,74,99,1.99,overcast clouds
293,Vostok,RU,46.4856,135.8833,68.92,21,100,4.9,overcast clouds
294,Hovd,MN,48.0056,91.6419,42.4,25,0,8.5,clear sky
295,Kuching,MY,1.55,110.3333,86.22,84,20,1.14,few clouds
296,Qasigiannguit,GL,68.8193,-51.1922,17.85,95,11,6.06,few clouds
297,Santa Lucia,ES,27.9117,-15.5407,63.77,83,20,4.61,few clouds
298,Warrensburg,US,38.7628,-93.7361,80.38,78,0,9.22,clear sky
299,Marysville,US,48.0518,-122.1771,60.15,57,72,1.99,broken clouds
300,West Bay,KY,19.3667,-81.4167,82.0,79,5,1.01,clear sky
301,Birao,CF,10.2849,22.7882,82.02,45,96,3.8,overcast clouds
302,Avera,US,33.194,-82.5271,63.91,46,0,7.05,clear sky
303,Mounana,GA,-1.4085,13.1586,69.94,95,100,2.3,overcast clouds
304,Oromocto,CA,45.8351,-66.4792,43.03,65,3,4.63,light rain
305,Assare,BR,-6.8744,-39.875,75.0,63,100,1.88,overcast clouds
306,Saint-Joseph,RE,-21.3667,55.6167,70.18,76,2,1.61,clear sky
307,Kampot,KH,10.6167,104.1833,87.85,75,100,3.69,overcast clouds
308,Rosarito,MX,32.3333,-117.0333,66.42,56,100,18.66,overcast clouds
309,Piacabucu,BR,-10.4056,-36.4344,75.97,83,98,4.68,overcast clouds
310,Belmonte,BR,-15.8631,-38.8828,73.44,81,65,6.49,broken clouds
311,Uruzgan,AF,32.8333,66.0,70.5,24,0,0.78,clear sky
312,Portland,US,45.5234,-122.6762,60.78,52,0,9.22,clear sky
313,Miraflores,MX,19.2167,-98.8083,75.02,40,96,6.35,overcast clouds
314,Fortuna,US,40.5982,-124.1573,54.86,68,100,14.97,overcast clouds
315,Kultuk,RU,51.7208,103.6956,43.2,39,100,9.48,overcast clouds
316,Nemuro,JP,43.3236,145.575,47.26,74,0,10.0,clear sky
317,Luang Prabang,LA,19.8856,102.1347,77.27,89,100,0.56,overcast clouds
318,Amazar,RU,53.858,120.875,36.37,47,100,12.55,overcast clouds
319,Srivardhan,IN,18.0333,73.0167,83.55,75,100,6.04,overcast clouds
320,Ouesso,CG,1.6136,16.0517,70.86,99,100,2.86,moderate rain
321,Cerritos,US,33.8583,-118.0648,67.8,45,0,14.97,clear sky
322,Camacari,BR,-12.6975,-38.3242,71.87,92,17,4.72,light rain
323,Encantado,BR,-29.2361,-51.8697,65.61,100,100,1.43,overcast clouds
324,Vuktyl,RU,63.8567,57.3094,39.63,89,66,7.09,broken clouds
325,Yambio,SS,4.5721,28.3955,68.02,98,100,4.27,overcast clouds
326,Wagar,SD,16.1525,36.2032,83.97,17,29,16.4,scattered clouds
327,Lavrentiya,RU,65.5833,-171.0,33.55,97,69,6.44,broken clouds
328,Sabha,LY,27.0377,14.4283,72.14,29,2,9.42,clear sky
329,Alberdi,AR,-32.8899,-60.6906,61.16,81,0,5.28,clear sky
330,Lusambo,CD,-4.9667,23.45,69.04,77,11,1.5,few clouds
331,San Quintin,MX,30.4833,-115.95,61.2,66,94,23.47,overcast clouds
332,Bodden Town,KY,19.2833,-81.25,82.4,76,20,8.05,few clouds
333,Leningradskiy,RU,69.3833,178.4167,35.01,95,11,4.56,few clouds
334,Quatre Cocos,MU,-20.2078,57.7625,75.09,79,85,9.04,overcast clouds
335,Berlevag,NO,70.8578,29.0864,37.35,93,100,10.36,overcast clouds
336,Okato,NZ,-39.2,173.8833,57.9,62,5,8.97,clear sky
337,Sur,OM,22.5667,59.5289,83.64,48,0,3.83,clear sky
338,Kirakira,SB,-10.4544,161.9205,84.63,74,100,6.96,overcast clouds
339,Verkhnyaya Inta,RU,65.9811,60.3094,35.85,79,24,4.27,few clouds
340,Kisangani,CD,0.5167,25.2,70.29,100,100,0.92,moderate rain
341,Seoul,KR,37.5683,126.9778,74.59,39,0,3.44,clear sky
342,Bambanglipuro,ID,-7.95,110.2833,84.24,76,33,2.37,scattered clouds
343,Baile Tusnad,RO,46.15,25.85,42.85,95,100,0.47,overcast clouds
344,Slave Lake,CA,55.2834,-114.769,41.04,67,87,1.86,overcast clouds
